Bot,Points
One Piece Random Bot,66.5
Balance Bot,64.5
Hitman Bot,61.5
Balance Bot,61.0
Migrating Bot,60.5
Hitman Bot,60.5
Savage Beastbot,59.5
Pawn Bot,59.5
Savage Beastbot,59.0
One Piece Random Bot,58.5
